player_id,player_slug,first_name,last_name,rank,player_url,profile_picture,flag_code,residence,birthplace,birthdate,birth_year,birth_month,birth_day,turned_pro,weight_lbs,weight_kg,height_ft,height_inches,height_cm,handedness,backhand,coach,career_high,career_high_date,prize_money_year,prize_money,titles_year,titles,win_loss_year,win_loss
d643,novak-djokovic,Novak,Djokovic,1,/en/players/novak-djokovic/d643/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/djokovic_head_ao19.png,SRB,"Monte Carlo, Monaco","Belgrade, Serbia",(1987.05.22),1987,05,22,2003,170,77,6,"2""",188,Right-Handed, Two-Handed Backhand,Marian Vajda,1,11.07.04,"$5,857,399","$131,701,850",2,74,28-6,864-182
n409,rafael-nadal,Rafael,Nadal,2,/en/players/rafael-nadal/n409/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/nadal_head_ao19.png,ESP,"Manacor, Mallorca, Spain","Manacor, Mallorca, Spain",(1986.06.03),1986,06,03,2001,187,85,6,"1""",185,Left-Handed, Two-Handed Backhand,"Carlos Moya, Francisco Roig",1,08.08.18,"$6,281,671","$109,533,646",2,82,32-5,951-195
f324,roger-federer,Roger,Federer,3,/en/players/roger-federer/f324/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/federer_head_ao19.png,SUI,Switzerland,"Basel, Switzerland",(1981.08.08),1981,08,08,1998,187,85,6,"1""",185,Right-Handed, One-Handed Backhand,"Ivan Ljubicic, Severin Luthi",1,04.02.02,"$4,260,013","$124,774,930",3,102,32-4,1216-264
tb69,dominic-thiem,Dominic,Thiem,4,/en/players/dominic-thiem/tb69/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/thiem_head_ao19.png,AUT,"Lichtenwörth, Austria","Wiener Neustadt, Austria",(1993.09.03),1993,09,03,2011,174,79,6,"1""",185,Right-Handed, One-Handed Backhand,Nicolas Massu,4,17.11.06,"$3,858,810","$18,140,486",2,13,23-9,249-138
z355,alexander-zverev,Alexander,Zverev,5,/en/players/alexander-zverev/z355/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/zverev_head_ao19.png,GER,"Monte Carlo, Monaco","Hamburg, Germany",(1997.04.20),1997,04,20,2013,198,90,6,"6""",198,Right-Handed, Two-Handed Backhand,"Ivan Lendl, Alexander Zverev Sr.",3,17.11.06,"$1,426,332","$17,273,296",1,11,25-13,204-102
te51,stefanos-tsitsipas,Stefanos,Tsitsipas,6,/en/players/stefanos-tsitsipas/te51/overview,www.atptour.com/-/media/tennis/players/head-shot/2018/tsitispas_head_ao18.png,GRE,"Monte Carlo, Monaco","Athens, Greece",(1998.08.12),1998,08,12,2016,187,85,6,"4""",193,Right-Handed, One-Handed Backhand,Apostolos Tsitsipas,6,19.05.20,"$2,764,786","$5,883,282",2,3,34-14,84-51
n552,kei-nishikori,Kei,Nishikori,7,/en/players/kei-nishikori/n552/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/nishikori_head_ao19.png,JPN,"Bradenton, FL, USA","Shimane, Japan",(1989.12.29),1989,12,29,2007,161,73,5,"10""",178,Right-Handed, Two-Handed Backhand,"Dante Bottini, Michael Chang",4,15.03.02,"$1,532,421","$23,234,595",1,12,23-10,397-186
a678,kevin-anderson,Kevin,Anderson,8,/en/players/kevin-anderson/a678/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/anderson_head_ao19.png,RSA,"Gulf Stream, FL, USA","Johannesburg, South Africa",(1986.05.18),1986,05,18,2007,208,94,6,"8""",203,Right-Handed, Two-Handed Backhand,Brad Stine,5,18.07.16,"$407,217","$16,140,150",1,6,9-3,328-224
ke29,karen-khachanov,Karen,Khachanov,9,/en/players/karen-khachanov/ke29/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/khachanov_head_ao19.png,RUS,"Dubai, UAE","Moscow, Russia",(1996.05.21),1996,05,21,2013,192,87,6,"6""",198,Right-Handed, Two-Handed Backhand,Vedran Martic,9,19.06.10,"$1,108,910","$6,512,756",0,4,16-15,105-83
f510,fabio-fognini,Fabio,Fognini,10,/en/players/fabio-fognini/f510/overview,www.atptour.com/-/media/tennis/players/head-shot/2019/fognini_head_ao19.png,ITA,"Arma di Taggia, Italy","Sanremo, Italy",(1987.05.24),1987,05,24,2004,174,79,5,"10""",178,Right-Handed, Two-Handed Backhand,"Franco Davin, Corrado Barazzutti",10,19.06.10,"$1,768,900","$13,264,153",1,9,16-11,344-292
