week_title,week_year,week_month,week_day,rank_text,rank_number,move_positions,move_direction,player_age,ranking_points,tourneys_played,player_url,player_slug,name,country,player_id,profile_picture
2019.01.28,2019,1,28,1,1,,,31,10955,18,/en/players/novak-djokovic/d643/overview,novak-djokovic,Novak Djokovic,SRB,d643,www.atptour.com/-/media/tennis/players/head-shot/2018/djokovic_head_ao18.png
2019.01.28,2019,1,28,2,2,,,32,8320,13,/en/players/rafael-nadal/n409/overview,rafael-nadal,Rafael Nadal,ESP,n409,www.atptour.com/-/media/tennis/players/head-shot/2018/nadal_head_ao18.png
2019.01.28,2019,1,28,3,3,1,up,21,6475,21,/en/players/alexander-zverev/z355/overview,alexander-zverev,Alexander Zverev,GER,z355,www.atptour.com/-/media/tennis/players/head-shot/2018/zvereva_head_ao18.png
2019.01.28,2019,1,28,4,4,1,up,30,5060,17,/en/players/juan-martin-del-potro/d683/overview,juan-martin-del-potro,Juan Martin del Potro,ARG,d683,www.atptour.com/-/media/tennis/players/head-shot/delpotro_atpwt-headshot-template.png
2019.01.28,2019,1,28,5,5,1,up,32,4845,20,/en/players/kevin-anderson/a678/overview,kevin-anderson,Kevin Anderson,RSA,a678,www.atptour.com/-/media/tennis/players/head-shot/2018/anderson_head_ao18.png
2019.01.28,2019,1,28,6,6,3,down,37,4600,17,/en/players/roger-federer/f324/overview,roger-federer,Roger Federer,SUI,f324,www.atptour.com/-/media/tennis/players/head-shot/2018/federer_head_18.png
2019.01.28,2019,1,28,7,7,2,up,29,4110,24,/en/players/kei-nishikori/n552/overview,kei-nishikori,Kei Nishikori,JPN,n552,www.atptour.com/-/media/tennis/players/head-shot/2017/nishikori_headao17.png
2019.01.28,2019,1,28,8,8,,,25,3960,25,/en/players/dominic-thiem/tb69/overview,dominic-thiem,Dominic Thiem,AUT,tb69,www.atptour.com/-/media/tennis/players/head-shot/2018/thiem_head_ao18.png
2019.01.28,2019,1,28,9,9,1,up,33,3155,23,/en/players/john-isner/i186/overview,john-isner,John Isner,USA,i186,www.atptour.com/-/media/tennis/players/head-shot/2018/isner_head_ao18.png
2019.01.28,2019,1,28,10,10,3,down,30,3140,18,/en/players/marin-cilic/c977/overview,marin-cilic,Marin Cilic,CRO,c977,www.atptour.com/-/media/tennis/players/head-shot/2018/cilic_head_ao18.png
2019.01.28,2019,1,28,11,11,,,22,2880,25,/en/players/karen-khachanov/ke29/overview,karen-khachanov,Karen Khachanov,RUS,ke29,www.atptour.com/-/media/tennis/players/head-shot/2018/khachanov_head_ao18.png
2019.01.28,2019,1,28,12,12,3,up,20,2805,29,/en/players/stefanos-tsitsipas/te51/overview,stefanos-tsitsipas,Stefanos Tsitsipas,GRE,te51,www.atptour.com/-/media/tennis/players/head-shot/2018/tsitispas_head_ao18.png
2019.01.28,2019,1,28,13,13,1,down,22,2605,19,/en/players/borna-coric/cg80/overview,borna-coric,Borna Coric,CRO,cg80,www.atptour.com/-/media/tennis/players/head-shot/2017/coric_headao17.png
2019.01.28,2019,1,28,14,14,3,up,28,2250,20,/en/players/milos-raonic/r975/overview,milos-raonic,Milos Raonic,CAN,r975,www.atptour.com/-/media/tennis/players/head-shot/2018/raonic_head_ao18.png
2019.01.28,2019,1,28,15,15,2,down,31,2225,25,/en/players/fabio-fognini/f510/overview,fabio-fognini,Fabio Fognini,ITA,f510,www.atptour.com/-/media/tennis/players/head-shot/2018/fognini_head_ao18.png
2019.01.28,2019,1,28,16,16,3,up,22,2000,26,/en/players/daniil-medvedev/mm58/overview,daniil-medvedev,Daniil Medvedev,RUS,mm58,www.atptour.com/-/media/tennis/players/head-shot/2018/medvedev_head_ao18.png
2019.01.28,2019,1,28,17,17,14,up,24,1955,24,/en/players/lucas-pouille/pf39/overview,lucas-pouille,Lucas Pouille,FRA,pf39,www.atptour.com/-/media/tennis/players/head-shot/2018/pouille_head_ao18.png
2019.01.28,2019,1,28,18,18,6,up,30,1955,23,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,Roberto Bautista Agut,ESP,bd06,www.atptour.com/-/media/tennis/players/head-shot/2018/bautista_head_ao18.png
2019.01.28,2019,1,28,19,19,1,down,26,1870,31,/en/players/marco-cecchinato/cf01/overview,marco-cecchinato,Marco Cecchinato,ITA,cf01,www.atptour.com/-/media/tennis/players/head-shot/2019/cecchinato_head_lowao19.png
2019.01.28,2019,1,28,20,20,4,down,26,1835,25,/en/players/diego-schwartzman/sm37/overview,diego-schwartzman,Diego Schwartzman,ARG,sm37,www.atptour.com/-/media/tennis/players/head-shot/2018/schwartzman_aofhead_18.png
2019.01.28,2019,1,28,21,21,1,up,28,1830,21,/en/players/david-goffin/gb88/overview,david-goffin,David Goffin,BEL,gb88,www.atptour.com/-/media/tennis/players/head-shot/2018/goffin_head_ao18.png
2019.01.28,2019,1,28,22,22,2,down,26,1820,29,/en/players/nikoloz-basilashvili/bg23/overview,nikoloz-basilashvili,Nikoloz Basilashvili,GEO,bg23,www.atptour.com/-/media/tennis/players/head-shot/2018/basilashvili_head_ao18.png
