week_title,week_year,week_month,week_day,rank_text,rank_number,move_positions,move_direction,player_age,ranking_points,tourneys_played,player_url,player_slug,name,country,player_id
2019.06.24,2019,6,24,1,1,,,32,12415,16,/en/players/novak-djokovic/d643/overview,novak-djokovic,Novak Djokovic,SRB,d643
2019.06.24,2019,6,24,2,2,,,33,7945,16,/en/players/rafael-nadal/n409/overview,rafael-nadal,Rafael Nadal,ESP,n409
2019.06.24,2019,6,24,3,3,,,37,6620,16,/en/players/roger-federer/f324/overview,roger-federer,Roger Federer,SUI,f324
2019.06.24,2019,6,24,4,4,,,25,4595,23,/en/players/dominic-thiem/tb69/overview,dominic-thiem,Dominic Thiem,AUT,tb69
2019.06.24,2019,6,24,5,5,,,22,4405,24,/en/players/alexander-zverev/z355/overview,alexander-zverev,Alexander Zverev,GER,z355
2019.06.24,2019,6,24,6,6,,,20,4215,28,/en/players/stefanos-tsitsipas/te51/overview,stefanos-tsitsipas,Stefanos Tsitsipas,GRE,te51
2019.06.24,2019,6,24,7,7,,,29,4040,22,/en/players/kei-nishikori/n552/overview,kei-nishikori,Kei Nishikori,JPN,n552
2019.06.24,2019,6,24,8,8,,,33,3610,16,/en/players/kevin-anderson/a678/overview,kevin-anderson,Kevin Anderson,RSA,a678
2019.06.24,2019,6,24,9,9,,,23,2980,26,/en/players/karen-khachanov/ke29/overview,karen-khachanov,Karen Khachanov,RUS,ke29
2019.06.24,2019,6,24,10,10,,,32,2785,24,/en/players/fabio-fognini/f510/overview,fabio-fognini,Fabio Fognini,ITA,f510
2019.06.24,2019,6,24,11,11,1,up,30,2740,15,/en/players/juan-martin-del-potro/d683/overview,juan-martin-del-potro,Juan Martin del Potro,ARG,d683
2019.06.24,2019,6,24,12,12,1,down,34,2715,19,/en/players/john-isner/i186/overview,john-isner,John Isner,USA,i186
2019.06.24,2019,6,24,13,13,,,23,2625,27,/en/players/daniil-medvedev/mm58/overview,daniil-medvedev,Daniil Medvedev,RUS,mm58
2019.06.24,2019,6,24,14,14,,,22,2205,22,/en/players/borna-coric/cg80/overview,borna-coric,Borna Coric,CRO,cg80
2019.06.24,2019,6,24,15,15,1,up,32,2055,22,/en/players/gael-monfils/mc65/overview,gael-monfils,Gael Monfils,FRA,mc65
2019.06.24,2019,6,24,16,16,1,up,27,1960,28,/en/players/nikoloz-basilashvili/bg23/overview,nikoloz-basilashvili,Nikoloz Basilashvili,GEO,bg23
2019.06.24,2019,6,24,17,17,1,up,28,1945,20,/en/players/milos-raonic/r975/overview,milos-raonic,Milos Raonic,CAN,r975
2019.06.24,2019,6,24,18,18,3,down,30,1940,19,/en/players/marin-cilic/c977/overview,marin-cilic,Marin Cilic,CRO,c977
2019.06.24,2019,6,24,19,19,,,34,1715,22,/en/players/stan-wawrinka/w367/overview,stan-wawrinka,Stan Wawrinka,SUI,w367
2019.06.24,2019,6,24,20,20,2,up,23,1665,28,/en/players/matteo-berrettini/bk40/overview,matteo-berrettini,Matteo Berrettini,ITA,bk40
2019.06.24,2019,6,24,21,21,,,18,1654,29,/en/players/felix-auger-aliassime/ag37/overview,felix-auger-aliassime,Felix Auger-Aliassime,CAN,ag37
2019.06.24,2019,6,24,22,22,2,down,31,1600,23,/en/players/roberto-bautista-agut/bd06/overview,roberto-bautista-agut,Roberto Bautista Agut,ESP,bd06
2019.06.24,2019,6,24,23,23,10,up,28,1510,25,/en/players/david-goffin/gb88/overview,david-goffin,David Goffin,BEL,gb88
2019.06.24,2019,6,24,24,24,1,down,26,1485,27,/en/players/diego-schwartzman/sm37/overview,diego-schwartzman,Diego Schwartzman,ARG,sm37
2019.06.24,2019,6,24,25,25,13,up,34,1445,28,/en/players/gilles-simon/sd32/overview,gilles-simon,Gilles Simon,FRA,sd32
2019.06.24,2019,6,24,26,26,2,down,29,1430,26,/en/players/guido-pella/pc11/overview,guido-pella,Guido Pella,ARG,pc11
2019.06.24,2019,6,24,27,27,2,down,20,1390,28,/en/players/denis-shapovalov/su55/overview,denis-shapovalov,Denis Shapovalov,CAN,su55
2019.06.24,2019,6,24,28,28,1,up,25,1340,22,/en/players/lucas-pouille/pf39/overview,lucas-pouille,Lucas Pouille,FRA,pf39
2019.06.24,2019,6,24,29,29,3,down,20,1330,24,/en/players/alex-de-minaur/dh58/overview,alex-de-minaur,Alex de Minaur,AUS,dh58
2019.06.24,2019,6,24,30,30,3,down,24,1329,25,/en/players/laslo-djere/db63/overview,laslo-djere,Laslo Djere,SRB,db63
2019.06.24,2019,6,24,31,31,1,down,24,1280,24,/en/players/kyle-edmund/e831/overview,kyle-edmund,Kyle Edmund,GBR,e831
2019.06.24,2019,6,24,32,32,4,down,30,1278,33,/en/players/benoit-paire/pd31/overview,benoit-paire,Benoit Paire,FRA,pd31
2019.06.24,2019,6,24,33,33,2,down,28,1271,25,/en/players/dusan-lajovic/l987/overview,dusan-lajovic,Dusan Lajovic,SRB,l987
2019.06.24,2019,6,24,34,34,1,up,29,1265,25,/en/players/jan-lennard-struff/sl28/overview,jan-lennard-struff,Jan-Lennard Struff,GER,sl28
